⚽世界杯,#genre#
CCTV5,https://live.666666.zip/stream/20233432.m3u8
CCTV5,http://121.57.88.206:898/hls/5/index.m3u8
CCTV5,http://tv.zhangzp.top:4022/udp/239.125.2.54:4120
CCTV5,http://61.145.242.11:9088/hls/18/index.m3u8
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5,http://204.12.221.218:8181/3m1080p/cctv5.m3u8
CCTV5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd
咪咕直播⁴ᵏ,http://feilong123.vip/409990236/iptv/gdy.php?id=7#http://feilong123.vip/409990236/iptv/gdy.php?id=46#http://feilong123.vip/409990236/iptv/gdy.php?id=47
爱尔达体育,https://live.wxinxi.com/live/86597104_okehlpipbdoz2lujaxkrvv9eylmlbduv.m3u8#https://live.666666.zip/stream/86597104_okehlpipbdoz2lujaxkrvv9eylmlbduv.m3u8
HKNOW,http://10k.lucastv.pro/live/2c99755ae255/gJnMAT2/465863.ts#http://10k.lucastv.pro/live/2c99755ae255/gJnMAT2/465861.ts
beINMAX1,http://asmr4k.world:8080/05347247405/3100934708/1295243
beINMAX2,http://asmr4k.world:8080/05347247405/3100934708/1295244
beINMAX1,http://asmr4k.world:8080/05347247405/3100934708/1295245
beINMAX2,http://asmr4k.world:8080/05347247405/3100934708/1295246
HKNOW⁴ᵏ,http://10k.lucastv.pro/live/2c99755ae255/gJnMAT2/465865.ts#http://10k.lucastv.pro/live/2c99755ae255/gJnMAT2/465864.ts
HKNOW⁴ᵏ,http://mag.greatott.me:80/play/live.php?mac=00:1A:79:74:B1:B9&stream=2095898&extension=ts&play_token=1qHzIcYuYs#http://mag.greatott.me:80/play/live.php?mac=00:1A:79:74:B1:B9&stream=2095897&extension=ts&play_token=vG5XGcNqrZ
HKNOW⁴ᵏ,http://89.187.179.148:826/anto.j/c9yJDcXyPe/120336

🇬🇬世界新闻,#genre#
BBC,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8

BBC,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/250.ts
CNN,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/253.ts
FOX,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/252.ts

BBC,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs15&isp=5
CNN,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs16&isp=5
CNN,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs16&isp=10
BBC,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs15&isp=10

FOXNEWS,http://realsport.scalecdn.co:8080/live/supersonicstreams/cUewZolveU8Jh18jk34BDJ/2543.ts

朝鲜中央台,https://tv.intchoson.com/kctv/main_stream.m3u8
朝鲜中央台,https://streamer.nknews.org/tvhls/stream.m3u8
朝鲜中央台,http://s1.an94tv.cfd/aktv3/CH-0/AKTV.m3u8
朝鲜中央台,http://aktv-stream.m16tv.cfd/stream/nknews/null/AKTV.m3u8
朝鲜中央台,https://tv.nknews.org/tvhls/stream.m3u8
朝鲜中央台,https://tv.nknews.org/tvdash/stream.mpd
朝鲜中央台,https://tv.nknews.org/tvdash/stream-43963200.m4a
韩国中央东洋,http://mdlstay.com:9981/stream/channelid/1016329428?ticket=423F377F478D02A46209C7D86C378CA1EFDD1BE4&profile=pass
路透社,https://dbrb49pjoymg4.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-ams-aws/e7493ea5-5c1c-4d7a-a3f7-e95516048ad8/3.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8

NBC,https://d4whmvwm0rdvi.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-nbcu-linear/3e088b25-3e79-4f34-bbdf-afbcd40497f3/4.m3u8
